sample_id,relative_path,sha256,split,label,language,code_switch,parent_group_id,source_name,source_license,rights_basis,speaker_pseudo_id,text_id,text_hash,duration_s,generator_family,generator_name,generator_version,voice_id,clone_consent_id,device,capture_route,original_sr,codec,augmentation_chain,augmentation_seed,created_at
ml_df_it_v1:IT_4998_6241_000239_0_g,processed/f3/f33276ea38207d690dec828abfe1378c3017650327ee0df2d7beb9f494016011.wav,ef3a4248922542f119dff43899c8c596ba5bb3b53a21ebced52fae27c7635bab,ood,bonafide,other,unknown,ml_df_it_v1:target-speaker:4998,ml_df_it_v1,CC-BY-4.0,ML-DF v1 CC-BY-4.0; source MLS is CC-BY-4.0,ml_df_it_v1:target-speaker:4998,ml_df_it_v1:content:IT_4998_6241_000239_0,e8422be2f956b54f1fb97749416033ea419502b4a9d5eb66ebc3315e090e1bc9,4.937,,,,,,unknown,synthetic_ml_df,16000,wav,,,2026-08-09T04:16:22.460999Z
ml_df_it_v1:IT_4998_5411_000128_2_g,processed/57/57cdbefdf7eb0a7fc2b86032c468bc59039d048d4b00796f591b3096b875ce20.wav,ae83dc67f0f07da5a63f70de600d7ceff7a12cad42c416bfaf48009a043e9369,ood,bonafide,other,unknown,ml_df_it_v1:target-speaker:4998,ml_df_it_v1,CC-BY-4.0,ML-DF v1 CC-BY-4.0; source MLS is CC-BY-4.0,ml_df_it_v1:target-speaker:4998,ml_df_it_v1:content:IT_4998_5411_000128_2,96a0d1bb2c43491fa696a6bcadae12cd9266d1431fb752b71563f6c281d76bf3,5.098,,,,,,unknown,synthetic_ml_df,16000,wav,,,2026-08-09T04:16:22.460999Z
ml_df_it_v1:IT_4998_11418_000065_4_g,processed/83/83e8aa86ad72c303c19ac690cb0b040b5077adfb7c95d6252addb4b709a43030.wav,679ad76c29b357639bea735c43485cb1e9c5e1eaa9097b873781679494548fab,ood,bonafide,other,unknown,ml_df_it_v1:target-speaker:4998,ml_df_it_v1,CC-BY-4.0,ML-DF v1 CC-BY-4.0; source MLS is CC-BY-4.0,ml_df_it_v1:target-speaker:4998,ml_df_it_v1:content:IT_4998_11418_000065_4,d61d0d8549e92749af8010610ec98ab54d20532873533a2cb1a655bc0a7482e1,4.402,,,,,,unknown,synthetic_ml_df,16000,wav,,,2026-08-09T04:16:22.460999Z
ml_df_it_v1:IT_6807_5862_000507_0_g,processed/5b/5bdb98c4de45d800d0ff3b0dd93fd5d5f0e23b4ceaacdf37c0a5f28faa31e386.wav,a2278734bc49a1e0886206e60d63efb43a6234bbd4b4541f8f21cdbad18fec61,ood,bonafide,other,unknown,ml_df_it_v1:target-speaker:6807,ml_df_it_v1,CC-BY-4.0,ML-DF v1 CC-BY-4.0; source MLS is CC-BY-4.0,ml_df_it_v1:target-speaker:6807,ml_df_it_v1:content:IT_6807_5862_000507_0,7d7c0921c2c1ce48dcfe727ff56d70f85e73a366273269970b8f75e722830ed3,4.458,,,,,,unknown,synthetic_ml_df,16000,wav,,,2026-08-09T04:16:22.460999Z
ml_df_it_v1:IT_6807_7877_000275_2_g,processed/35/35fc8ed67b0baf5e5a42a2ffc24d5e2536b440a76cc9fe6c8fe556879da7301f.wav,fc4478f4532d044f9c4cfb218d413b8d4e9c247abcb5aea7c7690ca386742d62,ood,bonafide,other,unknown,ml_df_it_v1:target-speaker:6807,ml_df_it_v1,CC-BY-4.0,ML-DF v1 CC-BY-4.0; source MLS is CC-BY-4.0,ml_df_it_v1:target-speaker:6807,ml_df_it_v1:content:IT_6807_7877_000275_2,f70c3667bf7c2972c43b1c2831c2d1eff0cbcfc9bc85580eb4f4b55398b21c4f,5.638,,,,,,unknown,synthetic_ml_df,16000,wav,,,2026-08-09T04:16:22.460999Z
ml_df_it_v1:IT_6807_6241_000322_2_g,processed/92/928c7414afea0f265122276933c062890c96ac5a0f87eb2bb09567dee4942b05.wav,ee80f6eeb43390fb4bb460de05879d34561ee289b7ffdb32e4bbd5f6fe7b247a,ood,bonafide,other,unknown,ml_df_it_v1:target-speaker:6807,ml_df_it_v1,CC-BY-4.0,ML-DF v1 CC-BY-4.0; source MLS is CC-BY-4.0,ml_df_it_v1:target-speaker:6807,ml_df_it_v1:content:IT_6807_6241_000322_2,e91abe1dc1f2176551d8e9a58c3d33f40b6827ebff3ff170a5a6fff89c942f6b,3.409,,,,,,unknown,synthetic_ml_df,16000,wav,,,2026-08-09T04:16:22.460999Z
ml_df_it_v1:IT_4998_5568_000083_2_g,processed/67/677e511d1eea4632f6c1a2862e9bab6b80f4f873a7bcab00666d459c513a7693.wav,9bf583a61d4ab212bee825985e9a343ef633b762d551589f8ec525ff1acee2c7,ood,bonafide,other,unknown,ml_df_it_v1:target-speaker:4998,ml_df_it_v1,CC-BY-4.0,ML-DF v1 CC-BY-4.0; source MLS is CC-BY-4.0,ml_df_it_v1:target-speaker:4998,ml_df_it_v1:content:IT_4998_5568_000083_2,0d0276e382ad1fe666302501ad94baf95d92e96e9a2a6c159813c5447bae458a,4.33,,,,,,unknown,synthetic_ml_df,16000,wav,,,2026-08-09T04:16:22.460999Z
ml_df_it_v1:IT_4998_7720_000213_0_g,processed/83/83dc7ab67a0a665f65e6742382f6d8ffe5c3e9336d41fed50398551480eb7b79.wav,46aaefa6c5faaf3c430eaca5f261479f65beaae15fa1dbad1b8bbfa1ac17ce69,ood,bonafide,other,unknown,ml_df_it_v1:target-speaker:4998,ml_df_it_v1,CC-BY-4.0,ML-DF v1 CC-BY-4.0; source MLS is CC-BY-4.0,ml_df_it_v1:target-speaker:4998,ml_df_it_v1:content:IT_4998_7720_000213_0,40b0e809e4115b4acbcef0e561049c0a1c02474ef8091741550f2068ea3f312d,4.549,,,,,,unknown,synthetic_ml_df,16000,wav,,,2026-08-09T04:16:22.460999Z
ml_df_it_v1:IT_4998_7270_000231_4_g,processed/c7/c71a8fe450629803227d66d9699141aaa0add20391e0c5196c37406de23d8c98.wav,f34f9deb985279dd212e2fc0aed1df206b983c095545104e5530ebd210ae226f,ood,bonafide,other,unknown,ml_df_it_v1:target-speaker:4998,ml_df_it_v1,CC-BY-4.0,ML-DF v1 CC-BY-4.0; source MLS is CC-BY-4.0,ml_df_it_v1:target-speaker:4998,ml_df_it_v1:content:IT_4998_7270_000231_4,4229602d79974e5da1f37d7bd8e5b0d07758be3dc4dda22ce73a9fe46d59d963,3.731,,,,,,unknown,synthetic_ml_df,16000,wav,,,2026-08-09T04:16:22.460999Z
ml_df_it_v1:IT_6807_7050_001298_3_g,processed/4b/4b12b806ff604b8aa014f7a0487273d5e32e96374528811f29fd9abf70591def.wav,9f83f580d371a450af2ca39ac17a3b3d4e17285408e76dbc0e82c5f03c6128b6,ood,bonafide,other,unknown,ml_df_it_v1:target-speaker:6807,ml_df_it_v1,CC-BY-4.0,ML-DF v1 CC-BY-4.0; source MLS is CC-BY-4.0,ml_df_it_v1:target-speaker:6807,ml_df_it_v1:content:IT_6807_7050_001298_3,698d8eaef1f78f78e0bc8d8174ff04052f212b57af6d40e271d52f606838898c,4.113,,,,,,unknown,synthetic_ml_df,16000,wav,,,2026-08-09T04:16:22.460999Z
